1,m,y,y,y,y,n,y,y,n,y,y,n,n,y,n,y,n,y,n,y,y,n,n,n,n,y,n,y,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y,n,y,n,y,y,y,y,n,n,n,n,y,y,n,y,y,y,y,y
2,y,m,y,y,y,y,y,y,n,y,y,n,n,n,n,n,y,y,n,n,y,n,y,n,n,y,y,y,y,n,y,y,y,n,y,n,n,y,n,n,n,y,y,y,n,y,n,y,y,y,n,y,n,n,n,y,y,y,y,y,y,y,y
3,y,y,m,y,y,y,y,n,n,n,y,n,n,n,n,n,n,y,n,n,y,n,n,n,n,n,y,y,y,n,n,y,y,n,y,n,n,y,n,n,n,n,y,y,n,y,n,n,y,y,n,y,n,n,n,y,n,y,y,y,n,y,y
4,y,y,y,m,y,y,y,y,n,n,y,n,n,y,n,y,y,y,n,n,y,n,n,n,y,n,y,y,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y,n,y,n,y,y,y,y,n,n,n,n,y,n,n,y,y,y,y,y
5,y,y,y,y,m,y,y,y,n,y,y,y,n,n,n,y,n,y,n,n,y,n,n,n,n,y,y,y,y,n,n,n,y,n,y,n,n,y,n,n,n,n,y,y,y,y,n,y,y,y,n,n,n,n,n,y,y,n,y,y,y,y,n
6,n,y,y,y,y,m,n,y,n,n,y,n,n,n,n,n,y,y,n,n,y,n,n,n,n,y,y,y,n,n,n,y,y,n,n,n,n,y,y,n,n,y,n,n,n,y,n,n,y,y,n,y,n,n,n,y,y,y,y,y,n,y,n
7,y,y,y,y,y,n,m,y,n,y,y,n,n,n,n,y,n,y,n,y,y,n,n,n,n,n,y,y,n,n,n,y,y,n,y,n,n,y,n,n,n,n,y,y,y,y,n,y,y,n,n,y,n,n,n,y,n,n,y,y,n,y,y
8,y,y,n,y,y,y,y,m,n,n,y,n,n,y,n,y,n,y,n,n,y,n,n,n,n,y,n,n,y,n,n,y,y,n,y,n,n,y,n,n,n,n,y,n,n,y,n,n,y,y,n,n,n,n,n,y,n,n,y,n,n,y,y
9,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n
10,y,y,n,n,y,n,y,n,n,m,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,y,n,n,n,y,n,y,n,n,n,y,n
11,y,y,y,y,y,y,y,y,n,y,m,n,n,y,n,y,y,y,n,n,y,n,n,n,y,y,y,y,y,y,y,n,y,n,y,n,n,y,n,n,n,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,y,n,y,y,y,y,y
12,n,n,n,n,y,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n
13,n,n,n,n,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n
14,y,n,n,y,n,n,n,y,n,n,y,n,n,m,n,n,n,n,n,n,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n
15,n,n,n,n,n,n,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
16,y,n,n,y,y,n,y,y,n,n,y,n,n,n,n,m,n,y,n,n,y,n,n,n,n,n,n,y,n,n,n,n,y,n,y,n,n,y,n,n,n,n,y,n,n,y,n,n,y,y,n,y,n,n,n,y,n,n,y,y,n,y,y
17,n,y,n,y,n,y,n,n,n,n,y,n,n,n,n,n,m,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,y,y,n,n,y,n,n,n,y,n,n,n,n,y,y,y,n,n,n,n,y,n
18,y,y,y,y,y,y,y,y,n,y,y,n,n,n,n,y,y,m,n,n,y,n,n,n,y,n,y,y,n,n,y,y,y,n,y,n,n,y,y,n,y,n,y,y,n,y,n,y,y,y,n,n,n,n,n,y,n,n,y,y,n,y,y
