1,m,y,y,n,n,y,n,y,y,n,n,n,y,y,n,n,n,n,n,n,y,n,n,n,y,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y
2,y,m,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y
3,y,n,m,n,n,n,n,n,n,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,y,y,n,n,n,n,n,y,n,n,n,n,y,n,y,n,n,n,n,n,n,y,n,n,n,y,n,n,n,y,n,n,n,y,n,n,n,n
4,n,n,n,m,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n
5,n,n,n,y,m,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n
6,y,y,n,n,n,m,n,y,y,y,n,n,n,y,y,n,n,y,n,y,y,n,n,n,y,n,n,y,y,n,n,n,y,n,n,n,n,n,y,n,n,y,n,n,n,y,n,y,y,y,n,n,y,n,n,n,y,n,n,n,y,n,y
7,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
8,y,y,n,n,n,y,n,m,y,n,y,y,n,y,n,n,n,y,y,y,y,n,y,n,y,n,n,y,y,n,y,y,n,n,n,y,n,y,y,y,n,y,n,n,n,y,n,y,y,n,n,y,n,n,n,y,y,n,y,n,y,n,y
9,y,y,n,n,n,y,n,y,m,n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y
10,n,n,n,n,y,y,n,n,n,m,n,y,n,n,n,n,n,y,n,y,n,n,y,n,n,y,n,y,n,n,y,y,n,n,n,n,n,n,y,n,y,n,y,n,y,n,n,n,n,n,y,n,y,y,n,y,n,y,y,n,n,n,n
11,n,n,n,n,n,n,n,y,n,n,m,y,n,n,n,n,n,y,n,n,n,n,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,y,n,n,n,y,n,y,y,n,n,n,n
12,n,n,y,n,n,n,n,y,n,y,y,m,n,n,y,y,n,y,y,y,n,n,y,n,n,y,y,y,n,n,y,y,y,n,n,y,n,y,n,y,n,n,n,n,n,n,y,n,n,n,y,n,y,n,y,y,y,n,y,n,n,n,y
13,y,n,y,n,n,n,n,n,n,n,n,n,m,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,y,n,n,n,n,n,y,n
14,y,n,n,n,n,y,n,y,n,n,n,n,n,m,n,n,n,n,n,y,y,n,y,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,y,n,y,n,n,n,n,n,n,y,n,n,n,y,n,y
15,n,n,y,n,n,y,n,n,n,n,n,y,n,n,m,y,n,n,n,n,n,n,n,n,n,y,y,y,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,y,n,n,n,y,n,n,n,y,n,n,n,y
16,n,n,y,n,n,n,n,n,n,n,n,y,y,n,y,m,n,n,y,n,n,n,n,n,n,y,y,y,n,n,n,n,y,n,n,n,n,y,n,y,n,n,n,n,n,n,y,n,n,n,y,y,n,n,y,n,n,n,y,n,n,n,n
17,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
18,n,n,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,m,n,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,y,n,y,n,y,y,y,n,n,y,n,y,y,n,n,n,n,n,n,y,n,n,n,n,n,n,y
19,n,n,y,n,n,n,n,y,n,n,n,y,n,n,n,y,n,n,m,n,n,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,y,n,n,y,n,n,n,n
20,n,n,n,n,n,y,n,y,n,y,n,y,n,y,n,n,n,n,n,m,y,n,y,n,y,n,n,y,n,n,n,n,n,n,n,y,n,n,y,n,n,y,n,n,y,y,n,y,y,n,n,n,y,n,n,n,y,y,n,n,y,n,y
21,y,n,n,n,n,y,n,y,y,n,n,n,n,y,n,n,n,y,n,y,m,n,n,n,y,n,n,y,y,n,n,n,n,y,n,n,n,n,y,n,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,y,n,n,n,y,n,y
22,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
23,n,n,n,y,y,n,n,y,n,y,y,y,n,y,n,n,n,n,n,y,n,n,m,y,n,n,n,n,n,n,y,n,n,n,n,y,n,y,n,n,n,n,n,n,y,y,n,y,n,y,n,y,n,y,n,y,n,y,y,n,n,n,y
24,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,m,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n
25,y,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,y,n,y,y,n,n,n,m,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,n,y,n,n,n,y,n,n,n,y,n,y
